English Name,Persian Name,Level,Category,Equipments,target muscel,secondary muscel,Location,Injuries,Image,gif
Band bicycle crunch,شکم کرانچ دوچرخه با کش,سخت,قدرتی,کش,شکم-پهلو ,جلو ران(چهارسر)-فیله,باشگاه-خانه,کمر,https://my.uupload.ir/dl/0j5zOj8X,https://my.uupload.ir/dl/1LzozgaV
Bridge-Mountain Climber,شکم کوهنوردی,متوسط ,قدرتی-کششی,,شکم (راست شکمی)-عضلات دنده‌ای,فیله کمر-چهارسر ران-سینه-بازو-دلتوئید,باشگاه-خانه,کمر,https://my.uupload.ir/dl/n2vjV2pg,https://my.uupload.ir/dl/kjgygKa2
Bycicle Twisting Crunch,شکم کرانچ دوچرخه,متوسط,قدرتی-کششی,,شکم-مورب خارجی(پهلو),ران(چهارسر)-فیله کمر,باشگاه-خانه,کمر,https://my.uupload.ir/dl/NdXEQdW0,https://my.uupload.ir/dl/EOgAgD6O
Cable Kneeling Crunch,کرانچ سیمکش نشسته,متوسط- سخت,قدرتی-بدنسازی,سیمکش,شکم-مورب شکمی (پهلو),دلتوئید-کول-پشت و زیربغل-سینه‌ای بزرگ-دنده‌ای قدامی,باشگاه,کمر,https://my.uupload.ir/dl/kjgyXjEv,https://my.uupload.ir/dl/5L545ZKM
Cable Twist,توییست سیمکش ,متوسط- سخت,قدرتی-بدنسازی,سیمکش,راست شکمی,مورب شکمی,باشگاه,کمر,https://my.uupload.ir/dl/dxV7vOVE,https://my.uupload.ir/dl/VX707GVR
Captains Chair Straight Leg Raise,شکم خلبانی پا صاف,متوسط- سخت,قدرتی-بدنسازی,دستگاه,راست شکمی,جلو ران(چهارسر)- مورب شکمی,باشگاه,گردن- ستون فقرات ,https://my.uupload.ir/dl/VX70N97g, https://my.uupload.ir/dl/zbRnRwyd
Crunch Floor,شکم کرانچ روی زمین ,آسان -متوسط,قدرتی,زیرانداز,راست شکمی,مورب شکمی-میان تنه (core- فیله کمر),باشگاه-خانه,کمر,https://my.uupload.ir/dl/5L54025o,https://my.uupload.ir/dl/eyKeKLzD
Crunch,شکم کرانچ,آسان -متوسط,قدرتی,زیرانداز,راست شکمی,مورب شکمی-میان تنه (core- فیله کمر),باشگاه-خانه,کمر, https://my.uupload.ir/dl/zbRnyGmb,https://my.uupload.ir/dl/1LzozDZ9
Dead Bug,شکم ددباگ (حشره مرده),متوسط-سخت,قدرتی,زیرانداز,راست شکمی,مورب شکمی-میان تنه core- مورب شکمی,باشگاه-خانه,کمر,https://my.uupload.ir/dl/NdXEQzRR,https://my.uupload.ir/dl/aGXnXX9V
Decline Crunch,شکم کرانچ میز شیب‌دار (شیب منفی),متوسط-سخت,قدرتی,میز شیبدار(شیب منفی),راست شکمی,مورب خارجی(پهلو)-فیله کمر-عضلات ران,باشگاه,کمر- عضلات شکم ,https://my.uupload.ir/dl/1Lzo0YoM,https://my.uupload.ir/dl/OD1G11RQ
Dumbbell Side Bend,پهلو دمبل ,آسان -متوسط,قدرتی-بدنسازی,دمبل,مورب شکمی,راست شکمی,باشگاه- خانه,کمر- ستون فقرات,https://my.uupload.ir/dl/OD1GQ8xK,https://my.uupload.ir/dl/BvmNmQGp
Front Plank Toe Tap,پلانک لمس انگشت پا,متوسط تا سخت,قدرتی,زیرانداز,راست شکمی-پهلو,دلتوئید-سینه-سه سر بازویی,باشگاه- خانه,کمر,https://my.uupload.ir/dl/EOgAw2KM,https://my.uupload.ir/dl/NdXEX92G
Front Plank with Twist,پلانک چرخشی(پلانک توییست),متوسط- سخت,قدرتی,زیرانداز,شکم-مورب شکمی,سه سر بازویی-چهارسر ران-دلتوئید,باشگاه- خانه,افراد مبتدی,https://my.uupload.ir/dl/VX70NxmM,https://my.uupload.ir/dl/kjgygyWK
Front Plank,پلانک,متوسط,قدرتی,زیرانداز,شکم-مورب شکمی,فیله کمر-دلتوئید-پا-دنده‌ای,باشگاه- خانه,بدن و عضلات ,https://my.uupload.ir/dl/6E4o9xOV,https://my.uupload.ir/dl/6E4o4mnE
Hanging Leg Hip Raise,شکم خلبانی آویزان پا خم,متوسط- سخت,قدرتی,دستگاه,راست شکمی,مورب خارجی-مورب داخلی-فیله کمر,باشگاه- خانه,کمر- ستون فقرات, https://my.uupload.ir/dl/5L540vZ8, https://my.uupload.ir/dl/aGXnXDdV
Hyperextension,فیله کمر ,آسان -متوسط,قدرتی,دستگاه,فیله کمر,پشت پا(همسترینگ),باشگاه ,کمر,https://my.uupload.ir/dl/mbGkA6Az, https://my.uupload.ir/dl/v9p1p00Y
Incline Twisting Sit-up,دراز نشست چرخشی میز شیبدار (سیت آپ توییست میز شیب دار),متوسط- سخت,قدرتی,میز شیب دار,راست شکمی,جلو ران(چهارسر)- مورب شکمی,باشگاه ,, https://my.uupload.ir/dl/n2vjV6dn,https://my.uupload.ir/dl/BvmNmDZk
Kettlebell Russian Twist,شکم چرخشی روسی با کتل‌بل (راشن توییست با کتل‌بل),متوسط- سخت,قدرتی,کتل‌بل,راست شکمی,مورب شکمی-دلتوئید,باشگاه -خانه,کمر- ستون فقرات,https://my.uupload.ir/dl/2K5o0gWN,https://my.uupload.ir/dl/4e5o5EbW
Kneeling Rotational Push-up,شنا چرخشی زانو روی زمین,متوسط- سخت,قدرتی,زیرانداز,مورب شکمی - سینه ,دلتوئید-سه سر بازویی -راست شکمی,باشگاه -خانه,,https://my.uupload.ir/dl/eyKexMWQ,https://my.uupload.ir/dl/4e5o5E59
Leg Raise Hip Lift,زیرشکم خوابیده پا صاف روبه بالا (شکم لگ رایز),متوسط,قدرتی,زیرانداز,راست شکمی,فیله کمر ,باشگاه -خانه,,https://my.uupload.ir/dl/OD1GQm29,https://my.uupload.ir/dl/BvmNmDn9
Lever Back Extension,فیله کمر دستگاه نشسته,آسان -متوسط- سخت,قدرتی-بدنسازی,دستگاه,فیله کمر,"همسترینگ,شکم",باشگاه,کمر-عضلات پشتی ,https://my.uupload.ir/dl/0j5zO7G1,https://my.uupload.ir/dl/wZ2A2JXD
Lever Lying Crunch,شکم کرانچ دستگاه خوابیده,متوسط- سخت,قدرتی-بدنسازی,دستگاه,راست شکمی,مورب شکمی,باشگاه,افراد مبتدی,https://my.uupload.ir/dl/6E4o9xrB,https://my.uupload.ir/dl/dxV7VnMd
Lever Seated Crunch,شکم کرانچ دستگاه نشسته (پا ثابت),آسان -متوسط,قدرتی-بدنسازی,دستگاه,راست شکمی,مورب شکمی,باشگاه,افراد مبتدی,https://my.uupload.ir/dl/VX70NxoM,https://my.uupload.ir/dl/eyKeKmpM
Lever Seated Leg Raise Crunch,شکم کرانچ دستگاه نشسته (پا داخل شکم),متوسط-سخت,قدرتی-بدنسازی,دستگاه,راست شکمی,مورب شکمی,باشگاه,افراد مبتدی,https://my.uupload.ir/dl/n2vjV6ne,https://my.uupload.ir/dl/aGXnXVQ8
Lever Total Abdominal Crunch,شکم کرانچ کامل دستگاه نشسته (پا و شکم همزمان رو به داخل),متوسط-سخت,قدرتی-بدنسازی,دستگاه,راست شکمی,مورب شکمی,باشگاه,افراد مبتدی,https://my.uupload.ir/dl/1Lzo09pV,https://my.uupload.ir/dl/NdXEX2MR
Lying Leg Raise,زیرشکم پا بالا,متوسط,قدرتی,زیرانداز,راست شکمی,چهارسر ران(جلو پا),باشگاه- خانه,,https://my.uupload.ir/dl/JgymQAGb,https://my.uupload.ir/dl/dxV7VWJQ
Oblique Crunches Floor,کرانچ پهلو (مایل) روی زمین,متوسط- سخت,قدرتی,زیرانداز,مورب شکمی,راست شکمی ,باشگاه- خانه,کمر,https://my.uupload.ir/dl/VX70Nkng,https://my.uupload.ir/dl/JgymyvmQ
Reverse Crunch,کرانچ معکوس,متوسط,قدرتی,زیرانداز,راست شکمی,مورب شکمی-فیله کمر-چهارسر ران,باشگاه- خانه,افراد مبتدی,https://my.uupload.ir/dl/EOgAwXjB,https://my.uupload.ir/dl/mbGkGzEj
Russian Twist,شکم روسی (راشن توییست),متوسط- سخت,قدرتی,زیرانداز,راست شکمی,فیله کمر- دنده ای,باشگاه- خانه,کمر,https://my.uupload.ir/dl/5L5406xv,https://my.uupload.ir/dl/VX707pWW 
Seated Leg Raise,زیرشکم نشسته ,متوسط- سخت,قدرتی,نیمکت,راست شکمی,"مورب شکمی,فیله-ران ",باشگاه- خانه,کمر,https://my.uupload.ir/dl/aGXngor4,https://my.uupload.ir/dl/Jgymy7Nk
Shoulder Tap,پلانک شولدر تپ (ضربه به شانه),آسان -متوسط- سخت,قدرتی,زیرانداز,راست شکمی-مورب شکمی-سینه,سه سر بازویی-دو سر بازویی-دلتوئید ,باشگاه- خانه,کمر- شانه,https://my.uupload.ir/dl/BvmNQdG6,https://my.uupload.ir/dl/dxV7V4YW
Side Plank,پلانک پهلو (ساید پلانک),متوسط,قدرتی,زیرانداز,مورب شکمی,فیله کمر-میان تنه,باشگاه- خانه,بازو کاملا زیر شانه ,https://my.uupload.ir/dl/1Lzo061b, https://my.uupload.ir/dl/zbRnRzRb
