English Name,Persian Name,Level,Category,Equipments,target muscel,secondary muscel,Location,Injuries,Image,gif
Alternate Biceps Curl,جلوبازو ایستاده متناوب ,آسان -متوسط-سخت,قدرتی-بدنسازی,دمبل,دو سر بازویی (جلو بازو),سرشانه - ساعد,باشگاه-خانه,,https://my.uupload.ir/dl/VX70wK0p,https://my.uupload.ir/dl/mbGkJ1dN,https://my.uupload.ir/dl/kjgyLJyp,https://my.uupload.ir/dl/n2vjJ9DD
Barbell Curl,جلو بازو هالتر,متوسط-سخت,قدرتی-بدنسازی,هالتر,دو سر بازویی (جلو بازو),سرشانه - ساعد - سه سر بازویی (پشت بازو)- core(میان تنه),باشگاه,,https://my.uupload.ir/dl/Jgymw52A,https://my.uupload.ir/dl/OD1GwWO9,,
Barbell Drag Curl,جلو بازو درگ هالتر,متوسط-سخت,قدرتی-بدنسازی,هالتر,دو سر بازویی (جلو بازو),سرشانه - ساعد - سه سر بازویی (پشت بازو)- core(میان تنه),باشگاه,,https://my.uupload.ir/dl/zbRnmV5A,https://my.uupload.ir/dl/n2vjJ9M6 ,,
Biceps Curl,جلو بازو,آسان -متوسط-سخت,قدرتی-بدنسازی,دمبل-سیمکش-هالتر,دو سر بازویی (جلو بازو),سرشانه - ساعد ,باشگاه-خانه,,https://my.uupload.ir/dl/dxV79jBz,https://my.uupload.ir/dl/mbGkJ1Wb, https://my.uupload.ir/dl/0j5zkV6N,https://my.uupload.ir/dl/v9p1VvWk
Cable Curl,جلو بازو سیمکش,آسان -متوسط-سخت,قدرتی-بدنسازی,سیمکش,دو سر بازویی (جلو بازو),سرشانه - ساعد ,باشگاه,, https://my.uupload.ir/dl/0j5zkVVR,https://my.uupload.ir/dl/n2vjJ94M,,
Cable One Arm Curl,جلوبازو سیمکش تک دست,متوسط-سخت,قدرتی-بدنسازی,سیمکش,دو سر بازویی (جلو بازو),ساعد- سه سربازویی (پشت بازو)- core,باشگاه,,https://my.uupload.ir/dl/OD1GwdaZ,https://my.uupload.ir/dl/5L541r5Y,,
Close Grip Preacher Curl,جلو بازو لاری دست جمع,متوسط-سخت,قدرتی-بدنسازی,دستگاه-هالتر,دو سر بازویی (جلو بازو),دلتوئید قدامی (سرشانه) - ساعد - سه سر بازویی (پشت بازو),باشگاه,,https://my.uupload.ir/dl/NdXEwO1D,https://my.uupload.ir/dl/mbGkJ1Gg,,
Concentration Curl,جلو بازو خم تک دست,آسان -متوسط-سخت,قدرتی, دمبل,دو سر بازویی (جلو بازو),سرشانه - ساعد ,باشگاه-خانه,,https://my.uupload.ir/dl/mbGkJ2Kz,https://my.uupload.ir/dl/VX70wvwM,,
Cross Body Hammer Curl,جلوبازو دمبل چکشی متناوب رو به روی بدن,متوسط-سخت,قدرتی-بدنسازی,دمبل,دو سر بازویی (جلو بازو),ساعد - سه سر بازویی (پشت بازو)- core(میان تنه),باشگاه-خانه,,https://my.uupload.ir/dl/4e5oXmyz,https://my.uupload.ir/dl/VX70wv6X,,
Curl,جلوبازو ,آسان -متوسط-سخت,قدرتی-بدنسازی,دمبل-سیمکش-هالتر,دو سر بازویی (جلو بازو),سرشانه - ساعد ,باشگاه-خانه,,https://my.uupload.ir/dl/aGXn51N4,https://my.uupload.ir/dl/dxV7927E,https://my.uupload.ir/dl/6E4oABnE,https://my.uupload.ir/dl/v9p1VgaM 
Dumbbell Alternate Biceps Curl,جلوبازو دمبل متناوب,آسان -متوسط-سخت,قدرتی-بدنسازی,دمبل,دو سر بازویی (جلو بازو),سرشانه - ساعد,باشگاه-خانه,,https://my.uupload.ir/dl/dxV79KpQ,https://my.uupload.ir/dl/1LzodrAy,,
Dumbbell Biceps Curl,جلو بازو دمبل ,آسان -متوسط-سخت,قدرتی-بدنسازی,دمبل,دو سر بازویی (جلو بازو),سرشانه - ساعد ,باشگاه-خانه,,https://my.uupload.ir/dl/6E4oABkW,https://my.uupload.ir/dl/1Lzodrkn,,
Dumbbell Concentration Curl,جلوبازو دمبل خم تک دست,آسان -متوسط-سخت,قدرتی,دمبل,دو سر بازویی (جلو بازو),سرشانه - ساعد ,باشگاه-خانه,,https://my.uupload.ir/dl/EOgAkEyj, https://my.uupload.ir/dl/yoOKWv6D,,
Dumbbell Hammer Curl,جلوبازو دمبل چکشی,آسان-متوسط-سخت,قدرتی,دمبل,دو سر بازویی (جلو بازو) - بازویی قدامی,سه سر بازویی(پشت بازو)- core- ساعد ,باشگاه-خانه,,https://my.uupload.ir/dl/kjgyLEbQ, https://my.uupload.ir/dl/wZ2AKEBw,,
Dumbbell Incline Biceps Curl,جلوبازو دمبل میز شیب‌دار,متوسط-سخت,قدرتی-بدنسازی,دمبل,دو سر بازویی (جلو بازو),سرشانه - ساعد - سه سر بازویی (پشت بازو),باشگاه,,https://my.uupload.ir/dl/6E4oAByk,https://my.uupload.ir/dl/BvmNxrMW,,
Dumbbell Incline Curl,جلوبازو میز شیب‌دار,متوسط-سخت,قدرتی-بدنسازی,دمبل,دو سر بازویی (جلو بازو),سرشانه - ساعد - سه سر بازویی (پشت بازو),باشگاه,, https://my.uupload.ir/dl/4e5oXBN9,https://my.uupload.ir/dl/1LzodrBb,,
Dumbbell Incline Hammer Curl,جلوبازو دمبل چکشی میز شیب‌دار,متوسط-سخت,قدرتی-بدنسازی,دمبل,دو سر بازویی (جلو بازو),سرشانه - ساعد - سه سر بازویی (پشت بازو),باشگاه,,https://my.uupload.ir/dl/dxV79KaW,https://my.uupload.ir/dl/mbGkJ1Do,,
Dumbbell Preacher Curl,جلوبازو دمبل لاری ,آسان -متوسط-سخت,قدرتی-بدنسازی,دمبل,دو سر بازویی (جلو بازو),سرشانه - ساعد - سه سر بازویی (پشت بازو),باشگاه,,https://my.uupload.ir/dl/NdXEwp5G,https://my.uupload.ir/dl/n2vjJ9AM,,
Dumbbell Reverse Spider Curl,جلوبازو اسپایدر دمبل معکوس (دست برعکس),متوسط-سخت,قدرتی-بدنسازی,دمبل,دو سر بازویی (جلو بازو) -روی ساعد,سه سر بازویی (پشت بازو),باشگاه,,https://my.uupload.ir/dl/Jgymw9Vb,https://my.uupload.ir/dl/n2vjJeGQ,,
EZ Barbell Curl,جلو بازو هالتر EZ,متوسط-سخت,قدرتی-بدنسازی,هالتر-وزنه,دو سر بازویی (جلو بازو),ساعد - سه سر بازویی (پشت بازو),باشگاه,,https://my.uupload.ir/dl/NdXEwpXD,https://my.uupload.ir/dl/0j5zkMvd,,
EZ Barbell Reverse Grip Curl,جلوبازو هالتر EZ معکوس (دست برعکس),متوسط-سخت,قدرتی-بدنسازی,وزنه-هالتر,ساعد,دو سر بازویی (جلو بازو),باشگاه,,https://my.uupload.ir/dl/VX70woNz,https://my.uupload.ir/dl/0j5zkMnR,,
EZ Barbell Spider Curl,جلو بازو اسپایدر هالتر EZ ,متوسط-سخت,قدرتی-بدنسازی,وزنه-هالتر,دو سر بازویی (جلو بازو),سرشانه - ساعد ,باشگاه,,https://my.uupload.ir/dl/aGXn51Kw,https://my.uupload.ir/dl/EOgAk4xM,,
Hammer Curl,جلوبازو چکشی ,آسان-متوسط-سخت,قدرتی,دمبل-وزنه,دو سر بازویی (جلو بازو) - بازویی قدامی,سه سر بازویی(پشت بازو)- core- ساعد ,باشگاه-خانه,,https://my.uupload.ir/dl/wZ2AKwdw,https://my.uupload.ir/dl/2K5oDMYN, https://my.uupload.ir/dl/NdXEwp9M , https://my.uupload.ir/dl/kjgyLWbA
Incline Inner Biceps Curl,جلو بازو رو به داخل میز شیب‌دار,متوسط-سخت,قدرتی-بدنسازی,دمبل-میزشیبدار,دو سر بازویی (جلو بازو),سرشانه - ساعد - سه سر بازویی (پشت بازو), باشگاه,,https://my.uupload.ir/dl/VX70wo8p,https://my.uupload.ir/dl/BvmNxMJK,,
Lever Preacher Curl,جلو بازو لاری دستگاه,متوسط-سخت,قدرتی-بدنسازی,دستگاه,دو سر بازویی (جلو بازو),دلتوئید قدامی (سرشانه) - ساعد - سه سر بازویی (پشت بازو),باشگاه,,https://my.uupload.ir/dl/NdXEwpMa,https://my.uupload.ir/dl/n2vjJedg,https://my.uupload.ir/dl/0j5zkB7X,https://my.uupload.ir/dl/eyKeJXxV
Preacher Curl,جلو بازو لاری ,آسان متوسط-سخت,قدرتی-بدنسازی,دستگاه-هالتر,دو سر بازویی (جلو بازو),دلتوئید قدامی (سرشانه) - ساعد - سه سر بازویی (پشت بازو),باشگاه,,https://my.uupload.ir/dl/yoOKWJno, https://my.uupload.ir/dl/5L541MWY, https://my.uupload.ir/dl/kjgyLE9Q, https://my.uupload.ir/dl/5L541MpM
Seated Hammer Curl,جلو بازو چکشی نشسته,آسان-متوسط-سخت,قدرتی,دمبل,دو سر بازویی (جلو بازو) - بازویی قدامی,سه سر بازویی(پشت بازو)- ساعد ,باشگاه-خانه,,https://my.uupload.ir/dl/6E4oABZV, https://my.uupload.ir/dl/OD1Gw4oB,,
Zottman Curl,جلو بازو چرخشی (زاتمن),متوسط-سخت,قدرتی-بدنسازی,دمبل,دو سر بازویی (جلو بازو),سرشانه - ساعد - سه سر بازویی (پشت بازو)- core(میان تنه),باشگاه-خانه,,https://my.uupload.ir/dl/VX70woaM,https://my.uupload.ir/dl/eyKeJXzY,,
