English Name,Persian Name,Level,Category,Equipments,target muscel,secondary muscel,Location,Injuries,Image,gif
Biceps Leg Concentration Curl,جلو بازو تمرکزی با استفاده از وزن پا,آسان -متوسط,قدرتی-بدنسازی,,دو سر بازویی (جلو بازو),سرشانه - ساعد ,باشگاه-خانه,کمر- ستون فقرات ,https://my.uupload.ir/dl/mbGkyAzv,https://my.uupload.ir/dl/aGXnVXrQ,,
Inverted Chin Curl with Bent Knee between Chairs,جلو بازو زانو 90 درجه بین دو صندلی (تکیه گاه),آسان -متوسط-سخت,قدرتی,تکیه گاه (صندلی),دو سر بازویی (جلو بازو),سرشانه - ساعد ,باشگاه-خانه,,https://my.uupload.ir/dl/5L5480B0,https://my.uupload.ir/dl/yoOKNOWB,,
Lying Double Legs Biceps Curl with Towel,جلو بازو خوابیده با حوله جفت پا,آسان -متوسط-سخت,قدرتی,حوله,دو سر بازویی (جلو بازو),سرشانه - ساعد - سه سر بازویی (پشت بازو)- core(میان تنه),باشگاه-خانه,, https://my.uupload.ir/dl/eyKemJ4X,https://my.uupload.ir/dl/wZ2Ad2JB,,
Two Legs Hammer Curl with Towel,جلو بازو چکشی با حوله جفت پا,آسان-متوسط-سخت,قدرتی,حوله,دو سر بازویی (جلو بازو) - بازویی قدامی,سه سر بازویی(پشت بازو)- ساعد ,باشگاه-خانه,,https://my.uupload.ir/dl/6E4o8AWL ,https://my.uupload.ir/dl/1Lzo804W,,
Lateral Raise with Tower,سرشانه نشر جانب تک دست با حوله,آسان,قدرتی-بدنسازی,حوله,سرشانه(دلتوئید میانی),دلتوئید قدامی -دلتوئید خلفی-ساعد- core(میان تنه),باشگاه -خانه,,https://my.uupload.ir/dl/4e5oz0yW ,https://my.uupload.ir/dl/yoOKNOQV,,
Bodyweight Rear Lunge,لانج معکوس با وزن بدن,آسان تا متوسط,قدرتی,,جلو ران(چهارسر) ,همسترینگ (پشت پا) - سرینی (باسن) ,باشگاه-خانه,زانو ,https://my.uupload.ir/dl/NdXE2QnD,https://my.uupload.ir/dl/1Lzo8zZb,,
Hamstring Stretch,کشش همسترینگ تک پا  (کشش پشت پا تک),آسان,قدرتی,,همسترینگ (پشت پا),,باشگاه - خانه,,https://my.uupload.ir/dl/yoOKNxpJ,https://my.uupload.ir/dl/BvmN2mmv,,
Kneeling Toe Up Hamstring Stretch,کشش همسترینگ زانو به بالا,متوسط,قدرتی,,همسترینگ (پشت پا),سرینی (باسن),باشگاه - خانه,,https://my.uupload.ir/dl/v9p1bExb,https://my.uupload.ir/dl/kjgyvgQe,,
Seated Single Leg Hamstring Stretch,کشش همسترینگ نشسته تک پا (کشش پشت پا),آسان - متوسط,قدرتی,,همسترینگ (پشت پا),,باشگاه - خانه,,https://my.uupload.ir/dl/wZ2AdKOD ,https://my.uupload.ir/dl/NdXE2X2D,,
Self-Assisted Inverse Leg Curl,پشت پا برعکس,سخت,قدرتی,استپ,همسترینگ (پشت پا),دو قلو ساق پا,باشگاه - خانه,,https://my.uupload.ir/dl/0j5z8kjj,https://my.uupload.ir/dl/yoOKNOzJ,,
Single Leg Sliding Floor Bridge Curl on Towel,پل باسن تک پا با حوله روی زمین,آسان,قدرتی,حوله,سرینی (باسن),همسترینگ (پشت پا),باشگاه - خانه,,https://my.uupload.ir/dl/eyKemJGr,https://my.uupload.ir/dl/mbGkyG7j,,
Sliding Floor Bridge Curl on Towel,پل باسن با حوله روی زمین,آسان,قدرتی,حوله,سرینی (باسن)- راست شکمی,همسترینگ (پشت پا),باشگاه - خانه,,https://my.uupload.ir/dl/kjgyvLde,https://my.uupload.ir/dl/4e5oz5x0,,
Standing Hamstring Stretch,کشش همسترینگ ایستاده,آسان,قدرتی,,همسترینگ (پشت پا),سرینی,باشگاه - خانه,,https://my.uupload.ir/dl/5L5481J8,https://my.uupload.ir/dl/1Lzo8zbb,,
Standing Reach Down Hamstring Crossed Leg Stretch,کشش همسترینگ پا ضربدری رو به پایین,آسان,قدرتی,,همسترینگ (پشت پا),سرینی (باسن),باشگاه - خانه,,https://my.uupload.ir/dl/Jgym2wJb,https://my.uupload.ir/dl/VX7027Zb,,
Standing Single Leg Curl,پشت پا ایستاده تک پا,آسان,آسان,,همسترینگ (پشت پا),سرینی (باسن),باشگاه - خانه,,https://my.uupload.ir/dl/n2vjZJLm, https://my.uupload.ir/dl/2K5o85Ex,,
Single Leg Bodyweight Doadlift with Arm  and leg Extended,ددلیفت تک پا با وزن بدن,آسان -متوسط,قدرتی,,پشت پا(همسترینگ),سرینی (باسن) - دوقلو (ساق پا)- ساعد- عضلات  میان تنه  (core),باشگاه-خانه,کمر , https://my.uupload.ir/dl/VX702w9b,https://my.uupload.ir/dl/VX7027MY,,
