English Name,Persian Name,Level,Category,Equipments,target muscel,secondary muscel,Location,Injuries,Image,gif
Barbell Bench Press,پرس سینه هالتر,متوسط - سخت,قدرتی - بدنسازی,هالتر و وزنه,سینه- شانه و بازو,دست,باشگاه,,https://my.uupload.ir/dl/BvmNwED6 ,https://my.uupload.ir/dl/zbRnO49B ,,
Bench Press,پرس سینه,متوسط - سخت,قدرتی - بدنسازی,هالتر و وزنه,سینه- شانه - ذوزنقه,سه سر بازو- دلتوئید,باشگاه,,https://my.uupload.ir/dl/aGXnKLVL ,https://my.uupload.ir/dl/1Lzowyby  ,,
Cable Low Fly,فلای سیمکش از پایین,متوسط - سخت,قدرتی - بدن سازی,سیمکش,سینه,بالاتنه - پشت,باشگاه,,https://my.uupload.ir/dl/0j5z4eZX ,https://my.uupload.ir/dl/n2vjkMWZ,,
Cable Middle Fly,فلای سیمکش از وسط,متوسط - سخت,قدرتی - بدنسازی,سیمکش,قفسه سینه,دلتوئید,باشگاه,,https://my.uupload.ir/dl/dxV7mdob ,https://my.uupload.ir/dl/NdXE6VbR,,
Cable Standing Fly,فلای سیمکش ایستاده (از بالا),متوسط - سخت,قدرتی - بدنسازی,سیم کش,بخش پشتی سرشانه (دلتوئید خلفی)-سینه,عضله تحت خاری-بخش جلویی شانه (دلتوئید قدامی)-بخش میانی سرشانه (دلتوئید جانبی)-بخش بالایی ذوزنقه (کول),باشگاه,,https://my.uupload.ir/dl/5L54wD6Y, https://my.uupload.ir/dl/NdXE6NBR,,
Chest Dip,دیپ سینه,آسان تا سخت,قدرتی,,سه سر بازو(پشت بازو) - سینه(زیر سینه),سینه ای بزرگ - جلوی سرشانه (دلتوئید قدامی) - ساعد,باشگاه - خانه,,https://my.uupload.ir/dl/mbGkZWBg , https://my.uupload.ir/dl/mbGkZYbn,,
Cobra Push-up,پوش آپ کبری (شنا کبری),متوسط تا سخت,قدرتی,,سه سر(جلو بازو)  - قفسه سینه,سرشانه,باشگاه - خانه,آسیب مچ ,https://my.uupload.ir/dl/BvmNwEa7 ,https://my.uupload.ir/dl/VX706mLQ,,
Decline Bench Press,پرس زیرسینه هالتر,متوسط - سخت,قدرتی - بدنسازی,هالتر - وزنه,سینه (بخش زیرین سینه),بخش جلویی سرشانه (دلتوئید قدامی) - سه سربازو (پشت بازو) - ساعد -میان تنه(core),باشگاه,,https://my.uupload.ir/dl/n2vjkmNZ,https://my.uupload.ir/dl/zbRnOMZN,https://my.uupload.ir/dl/OD1G67am ,https://my.uupload.ir/dl/n2vjkbXg 
Decline Push-up,پوش آپ یا شنا پا روی نیمکت,متوسط تا سخت,قدرتی,,سینه,core (میان تنه)- ساعد- دلتوئید (سرشانه)- سه سربازویی (پشت بازو),باشگاه - خانه,,https://my.uupload.ir/dl/mbGkZrVn ,https://my.uupload.ir/dl/6E4ow1Km ,,
Deep Push up,شنا دمبل,سخت,قدرتی,دمبل,سینه,سرشانه (دلتوئید) - سه سر بازویی(پشت بازو),باشگاه - خانه,سرشانه و مچ ,https://my.uupload.ir/dl/wZ2Aa8O1 ,https://my.uupload.ir/dl/6E4ow11B ,,
