English Name,Persian Name,Level,Category,Equipments,target muscel,secondary muscel,Location,Injuries,Image,gif
45 degree hyperextension,فیله کمر 45 درجه,آسان ,قدرتی-بدنسازی,دستگاه فیله کمر,فیله کمر,پشت پا(همسترینگ),باشگاه ,دیسک کمر ,https://my.uupload.ir/dl/EOgA8EzQ ,https://my.uupload.ir/dl/4e5oOEQW ,,
Barbell Hip Thrust,پل باسن با هالتر (هیپ تراست با هالتر),متوسط,قدرتی-بدنسازی,هالتر-نیمکت-وزنه,باسن (سرینی),جلو ران(چهارسر)- پشت پا(همسترینگ)-میان تنه,باشگاه- خانه, کمر ,https://my.uupload.ir/dl/0j5z4BNG ,https://my.uupload.ir/dl/mbGkZxrB ,,
Barbell Stiff Legged Deadlift,ددلیف با هالتر پا صاف,متوسط,قدرتی-بدنسازی,هالتر- وزنه,پشت پا(همسترینگ) ,سرینی (باسن) - فیله,باشگاه ,کمر- عضلات پشت ران ,https://my.uupload.ir/dl/aGXnK17e ,https://my.uupload.ir/dl/6E4owvVW ,,
Barbell Sumo Romanian Deadlift,سومو ددلیف با هالتر ,متوسط- سخت,قدرتی-بدنسازی-هیت,هالتر,پشت پا(همسترینگ),سرینی-فیله ,باشگاه ,کمر ,https://my.uupload.ir/dl/mbGkZvdB ,https://my.uupload.ir/dl/BvmNwDp6 ,,
Bench Squat,اسکوات روی نیمکت,متوسط,قدرتی-بدنسازی,نیمکت,جلو ران(چهارسر)-,پشت پا(همسترینگ)-سرینی,باشگاه- خانه,زانو ,https://my.uupload.ir/dl/NdXE6pDp ,https://my.uupload.ir/dl/6E4owv9m ,,
Cable Donkey Kickback,کیک‌بک باسن سیمکش (دانکی کیک‌بک با سیمکش),آسان -متوسط- سخت,قدرتی-بدنسازی,سیمکش, سرینی,پشت پا(همسترینگ),باشگاه ,"کمر , ستون فقرات ",https://my.uupload.ir/dl/5L54wBJM ,https://my.uupload.ir/dl/aGXnKAK8 ,,
Cable hip abduction,خارج پا سیمکش ایستاده,متوسط,قدرتی-بدنسازی,سیمکش,سرینی,جلو ران(چهارسر),باشگاه,"کمر ,زانو ",https://my.uupload.ir/dl/v9p1aQOE ,https://my.uupload.ir/dl/n2vjkyQQ ,,
Cobra Push-up,شنا کبری (پوش‌آپ کبری),متوسط, قدرتی,,سینه,سرشانه (دلتوئید) - سه سر بازویی(پشت بازو),باشگاه- خانه,کمر - ستون فقرات ,https://my.uupload.ir/dl/NdXE6pmG ,https://my.uupload.ir/dl/1Lzow7o0 ,,
Deadlift,ددلیفت,سخت,قدرتی-بدنسازی,هالتر-وزنه,پشت پا(همسترینگ),سرینی (باسن) - عضلات core - ساعد- جلو ران(چهارسر)- عضلات  کمر,باشگاه,زانو -کمر ,https://my.uupload.ir/dl/mbGkZvWv ,https://my.uupload.ir/dl/NdXE6ggG ,,
Dumbbell Glute Bridge,پل باسن با دمبل,متوسط,قدرتی-بدنسازی,دمبل,باسن(سرینی)-,پشت پا(همسترینگ)-فیله,باشگاه,شکم- لگن - مفاصل لگن- زانومچ پا ,https://my.uupload.ir/dl/aGXnK1Xg ,https://my.uupload.ir/dl/BvmNwDbk ,,
Dumbbell Grip Sumo Squat,سومو اسکوات با دمبل,متوسط تا سخت,قدرتی-بدنسازی,دمبل,جلو ران (چهار سر ران),پشت پا(همسترینگ)- سرینی (باسن)  - عضلات core,باشگاه,,https://my.uupload.ir/dl/n2vjkxVK ,https://my.uupload.ir/dl/BvmNwDYk ,,
Dumbbell Lunge,لانگز با دمبل ,متوسط,قدرتی-بدنسازی,دمبل,چهار سر ران (جلو پا),همسترینگ (پشت پا)- Core (میان تنه)- نعلی- دوقلو ساق پا,باشگاه,زانو ,https://my.uupload.ir/dl/n2vjkxkm ,https://my.uupload.ir/dl/5L54wG9d ,,
Dumbbell Romanian Deadlift,ددلیفت رومانیایی با دمبل ,آسان تا سخت,قدرتی-بدنسازی,دمبل,پشت پا(همسترینگ)-,سرینی (باسن) - نعلی - زیر بغل - core,باشگاه, کمر ,https://my.uupload.ir/dl/v9p1aQ0y ,https://my.uupload.ir/dl/OD1G6EMK ,,
Dumbbell Step-up,استپ آپ با دمبل ,متوسط,قدرتی-بدنسازی,دمبل,چهار سر ران (جلو پا),همسترینگ (پشت پا)- Core (میان تنه)- نعلی- دوقلو ساق پا,باشگاه,زانو ,https://my.uupload.ir/dl/eyKe7nmw ,https://my.uupload.ir/dl/yoOKa2vX ,,
Dumbbell Stiff Leg Deadlift,ددلیفت با دمبل پا صاف,متوسط,قدرتی-بدنسازی,دمبل ,پشت پا(همسترینگ),باسن (سرینی)- فیله,باشگاه ,کمر ,https://my.uupload.ir/dl/EOgA8EoB ,https://my.uupload.ir/dl/BvmNwDM9 ,,
