English Name,Persian Name,Level,Category,Equipments,target muscel,secondary muscel,Location,Injuries,Image,gif
Band Standing Leg Curl,پشت‌پا سیمکش,سخت,قدرتی,سیم‌کش,همسترینگ (پشت پا),سرینی-دوقلو ساق پا,باشگاه,,https://my.uupload.ir/dl/4e5oEaOD ,https://my.uupload.ir/dl/yoOKQb61 ,,
Cable Assisted Inverse Leg Curl,پشت پا کمکی روی دستگاه لت,متوسط- سخت,قدرتی - بدنسازی,دستگاه,همسترینگ (پشت پا),سرینی(باسن) - فیله,باشگاه,,https://my.uupload.ir/dl/dxV7nAgz ,https://my.uupload.ir/dl/eyKeA2oD ,,
Dumbbell Lying Hamstring Curl,پشت‌ پا دمبل خوابیده,آسان تا سخت,قدرتی,دمبل,همسترینگ (پشت پا),ساق پا- سرینی (باسن)- چهار سر (جلو پا),باشگاه - خانه,,https://my.uupload.ir/dl/eyKeWOX4 ,https://my.uupload.ir/dl/6E4om0Bk,,
Dumbbell Swing,سوئینگ دمبل,آسان تا سخت,قدرتی,دمبل,همسترینگ (پشت پا) - سرینی (باسن),چهارسر,باشگاه - خانه,,https://my.uupload.ir/dl/mbGkxEKj , https://my.uupload.ir/dl/eyKeA26Y,,
Glute Ham Raise,بلند کردن ران روی نیکمت (نشر باسن و پشت پا),متوسط,قدرتی,,همسترینگ,سرینی - دوقلو ساق پا,باشگاه - خانه,,https://my.uupload.ir/dl/JgymWgak ,https://my.uupload.ir/dl/eyKeA2dY,,
Kettlebell Swing,سوئینگ با کتل بل,متوسط- سخت,قدرتی,کتل بل,دلتوئید قدامی - همسترینگ (پشت پا) - سرینی,چهارسر (جلو پا),باشگاه - خانه,,https://my.uupload.ir/dl/EOgA1Oym ,https://my.uupload.ir/dl/BvmNDZ5k,,
Leg Curl,پشت پا (با توپ),آسان,قدرتی,توپ,همسترینگ (پشت پا),سرینی(باسن) - مرکزی (core) ,باشگاه - خانه,,https://my.uupload.ir/dl/kjgyGjYv ,https://my.uupload.ir/dl/1Lzo7V4y,,
Lever Kneeling Leg Curl,پشت پا دستگاه ایستاده ,آسان تا سخت,قدرتی - بدنسازی,دستگاه,همسترینگ (پشت پا),سرینی (باسن) - دوقلو ساق پا,باشگاه,کمر,https://my.uupload.ir/dl/zbRnJbMb ,https://my.uupload.ir/dl/mbGkxVwn ,,
Lever Lying Leg Curl,پشت پا دستگاه خوابیده,آسان تا سخت,قدرتی - بدنسازی,دستگاه,همسترینگ (پشت پا),جلو ران - دوقلو (ساق پا),باشگاه,,https://my.uupload.ir/dl/0j5z9jYD ,https://my.uupload.ir/dl/mbGkxVdN ,https://my.uupload.ir/dl/n2vjy2LZ ,https://my.uupload.ir/dl/BvmNDZyK 
Lever Lying Single leg Curl,پشت پا دستگاه خوابیده تک پا,آسان تا سخت,قدرتی - بدنسازی,دستگاه,همسترینگ (پشت پا),جلو ران - دوقلو (ساق پا),باشگاه,,https://my.uupload.ir/dl/5L54GLZ0 ,https://my.uupload.ir/dl/4e5oEDj0 ,,
Lever Seated Leg Curl,پشت پا دستگاه نشسته ,آسان تا سخت,قدرتی - بدنسازی,دستگاه,همسترینگ (پشت پا),چهار سر ران ( جلو ران)- دوقلو ساق پا- سرینی (باسن),باشگاه,,https://my.uupload.ir/dl/wZ2AJZ29 ,https://my.uupload.ir/dl/dxV7nL0d ,https://my.uupload.ir/dl/4e5oEe12 ,https://my.uupload.ir/dl/6E4ovXWm 
Lever Seated One Leg Curl,پشت پا دستگاه نشسته تک پا,آسان تا سخت,قدرتی - بدنسازی,دستگاه,همسترینگ (پشت پا),چهار سر ران ( جلو ران)- دوقلو ساق پا- سرینی (باسن),باشگاه,,https://my.uupload.ir/dl/4e5oEeXW ,https://my.uupload.ir/dl/4e5oED59 ,,
Lying Femoral,پشت پا خوابیده (با دمبل یا وزنه),آسان تا سخت,قدرتی,دمبل یا وزنه,همسترینگ (پشت پا),ساق پا- سرینی (باسن)- چهار سر (جلو پا),باشگاه - خانه,,https://my.uupload.ir/dl/dxV7nxer ,https://my.uupload.ir/dl/JgymWkQN ,,
Power Sled Push,هل دادن سورتمه,متوسط- سخت,قدرتی - بدنسازی,دستگاه سورتمه,همسترینگ ( پشت پا)- چهار سر ران ( جلو ران) - دوقلو ساق پا,,باشگاه,کمر - زانو,https://my.uupload.ir/dl/1Lzo7LOg ,https://my.uupload.ir/dl/0j5z9apd ,,
Resistance Band Leg Curl,پشت پا کش مقاومتی ,آسان تا سخت,قدرتی,کش,همسترینگ (پشت پا),چهار سر ران (جلو ران),باشگاه - خانه,,https://my.uupload.ir/dl/BvmNDv86 ,https://my.uupload.ir/dl/VX70jnzz ,https://my.uupload.ir/dl/v9p1w9av ,https://my.uupload.ir/dl/VX70jnBg 
Roll Hamstrings Sitting on Floor,پشت پا با فوم رولر روی زمین,متوسط,قدرتی,رولر,همسترینگ (پشت پا),,باشگاه - خانه,,https://my.uupload.ir/dl/v9p1w91W ,https://my.uupload.ir/dl/1Lzo7V7n ,,
Single Leg Extension,پشت پا تک با توپ ,آسان- متوسط,قدرتی,توپ,همسترینگ (پشت پا),دو قلو ساق پا- خیاطه,باشگاه ,,https://my.uupload.ir/dl/0j5z9j81 ,https://my.uupload.ir/dl/eyKeW45w ,,
Standing Hamstring and Calf Stretch with Strap,کشش همسترینگ با کش ایستاده,آسان,قدرتی,کش,همسترینگ (پشت پا),دو قلو ساق پا,باشگاه - خانه,,https://my.uupload.ir/dl/dxV7nx8d ,https://my.uupload.ir/dl/v9p1wRBb ,,
