English Name,Persian Name,Level,Category,Equipments,target muscel,secondary muscel,Location,Injuries,Image,gif
Barbell Full Squat,اسکوات کامل با هالتر,متوسط-سخت,قدرتی-بدنسازی,وزنه-هالتر,جلو ران(چهارسر) ,همسترینگ (پشت پا) - سرینی (باسن) - نعلی - دوقلو ساق پا - Core ) میان تنه),باشگاه,زانو -کمر ,https://my.uupload.ir/dl/Jgym2Nvk ,https://my.uupload.ir/dl/2K5o82Bz,,
Barbell Squat,اسکوات هالتر,متوسط-سخت,قدرتی-بدنسازی,وزنه-هالتر,جلو ران(چهارسر) ,همسترینگ (پشت پا) - سرینی (باسن) - نعلی - دوقلو ساق پا - Core (میان تنه),باشگاه,زانو -کمر ,https://my.uupload.ir/dl/BvmN2Vb0 ,https://my.uupload.ir/dl/v9p1bGxv,,
Bench Squat,اسکوات روی نیمکت یا باکس,آسان -متوسط-سخت,قدرتی-بدنسازی,نیمکت,جلو ران(چهارسر) ,همسترینگ (پشت پا) - سرینی (باسن) - نعلی - دوقلو ساق پا - Core (میان تنه),باشگاه-خانه,,https://my.uupload.ir/dl/dxV7WrBz ,https://my.uupload.ir/dl/n2vjZ0A6,,
Bulgarian Split Squat,اسکوات اسپیلیت یا بلغاری ,آسان -متوسط-سخت,قدرتی-بدنسازی,دمبل,جلو ران(چهارسر) ,همسترینگ (پشت پا) - سرینی (باسن) - نعلی - دوقلو ساق پا - Core (میان تنه),باشگاه,زانو ,https://my.uupload.ir/dl/0j5z8yMR,https://my.uupload.ir/dl/v9p1byKW,,
Dumbbell Bulgarian Split Squat,اسکوات اسپیلیت یا بلغاری با دمبل,متوسط-سخت,قدرتی-بدنسازی,دمبل,جلو ران(چهارسر),سرینی (باسن) -  ساق پا  - ساعد- پشت پا(همسترینگ) - عضلات  کمر( (core,باشگاه,,https://my.uupload.ir/dl/NdXE2V1R ,https://my.uupload.ir/dl/n2vjZK0g,,
Dumbbell Goblet Squat,اسکوات گابلت با دمبل,آسان -متوسط-سخت,قدرتی-بدنسازی,دمبل,جلو ران(چهارسر),سرینی (باسن) -  ساق پا  - ساعد- پشت پا(همسترینگ) - عضلات  کمر( (core,باشگاه-خانه,زانو-کمر ,https://my.uupload.ir/dl/0j5z8yop,https://my.uupload.ir/dl/OD1G29yB,,
Dumbbell Lunge,لانج دمبل,متوسط-سخت,قدرتی,دمبل,جلو ران(چهارسر),سرینی (باسن) -  دوقلو و نعلی ساق پا  - ساعد- پشت پا(همسترینگ) - عضلات  کمر( (core,باشگاه, زانو,https://my.uupload.ir/dl/VX702mEQ ,https://my.uupload.ir/dl/yoOKNemo,,
Dumbbell Plyo Squat,اسکات با دمبل پا باز,آسان -متوسط-سخت,قدرتی-بدنسازی,دمبل,جلو ران(چهارسر),سرینی (باسن) -  ساق پا  - ساعد- پشت پا(همسترینگ) - عضلات  کمر( (core,باشگاه-خانه,زانو-کمر ,https://my.uupload.ir/dl/1Lzo8x28 ,https://my.uupload.ir/dl/6E4o87KR,,
Dumbbell Walking Lunges,لانگز دمبل قدم زدن,متوسط-سخت,قدرتی-بدنسازی,دمبل-سیمکش-هالتر,جلو ران(چهارسر),سرینی (باسن) -  ساق پا  - ساعد- پشت پا(همسترینگ) - عضلات  کمر( (core,باشگاه-خانه,زانو,https://my.uupload.ir/dl/mbGkyYpb ,https://my.uupload.ir/dl/6E4o871L,,
Full Squat,اسکوات کامل,متوسط-سخت,قدرتی-بدنسازی,دمبل- هالتر,جلو ران(چهارسر),سرینی (باسن) -  ساق پا  - ساعد- پشت پا(همسترینگ) - عضلات  کمر( (core,باشگاه-خانه,زانو-کمر ,https://my.uupload.ir/dl/1Lzo8xaW ,https://my.uupload.ir/dl/dxV7Wbdo,,
